номер  п/п,Артикул,Наименование,Описание,Ед. изм.,Кол-во листов,Цена,Цена с НДС,РРЦ,Формат,Класс,Материал,"Карты, стенды, таблицы",Эдустронг,ПУНКТ ПРИКАЗА 1
934,КАР-В-ГЕО89101,Карта «Часовые пояса России. 8-9 классы»,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
935,КАР-В-ГЕО89102,Карта «Физико-географическое районирование территории России» 8-9 классы,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
936,КАР-ГЕО890066,Карта «Электроэнергетика России 8-9 классы»,Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
937,КАР-В-ГЕО89071,Карта «Тектоническое строение территории России. 8-9 классы,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
938,КАР-В-ГЕО89084,Восточно-Европейская (Русская) равнина. Физическая карта 8-9 классы,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
939,КАР-В-ГЕО10029,Политическая карта мира 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
940,КАР-В-ГЕО10030,Карта «Народы мира. 10 класс»,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
941,КАР-В-ГЕО10031,Карта «Религии мира. 10 класс»,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
942,КАР-В-ГЕО10032,Карта «Население мира. 10 класс»,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
943,КАР-В-ГЕО10033,Карта «Минеральные ресурсы мира. 10 класс»,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
944,КАР-В-ГЕО10034,Карта «Экологические проблемы мира. 10 класс»,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
945,КАР-В-ГЕО10035,Карта «Электроэнергетика мира. 10 класс»,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
946,КАР-В-ГЕО10036,Карта «Транспорт мира» 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
947,КАР-ГЕО10009,Карта «Сельское хозяйство мира. 10 класс»,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
948,КАР-В-ГЕО10038,Карта «Промышленность мира» 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
949,КАР-В-ГЕО10039,Карта «Агроклиматические ресурсы мира» 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
950,КАР-ГЕО10012,Карта «Глобальные проблемы человечества 10 класс,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
951,КАР-В-ГЕО10041,Карта «Глобальные проблемы человечества» 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
952,КАР-В-ГЕО10042,США. Социально-экономическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
953,КАР-В-ГЕО10043,Япония. Общегеографическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
954,КАР-В-ГЕО10044,Япония. Социально-экономическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
955,КАР-В-ГЕО10045,Китай. Общегеографическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
956,КАР-В-ГЕО10046,Китай. Социально-экономическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
957,КАР-В-ГЕО10047,Государства Зарубежной Европы. Социально-экономическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
958,КАР-В-ГЕО10048,Государства Зарубежной Азии. Социально-экономическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
959,КАР-В-ГЕО10049,Государства Африки. Социально-экономическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
960,КАР-В-ГЕО10050,Государства Северной Америки. Социально-экономическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
961,КАР-В-ГЕО10051,Государства Латинской Америки. Социально-экономическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
962,КАР-В-ГЕО10052,Австралия и Новая Зеландия. Социально- экономическая карта 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
963,КАР-В-ГЕО10053,Карта «Мировая добыча нефти и природного газа» 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
964,КАР-В-ГЕО10054,Карта «Уровень социально-экономического развития стран мира» 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
965,КАР-В-ГЕО10055,Карта «Международные организации» 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
966,КАР-В-ГЕО10056,"Карта «Памятники истории и культуры, находящиеся под охраной ЮНЕСКО» 10 класс","Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
967,КАР-В-ГЕО10037,Карта «Сельское хозяйство мира» 10 класс,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
968,КАР-В-ГЕО7017,Австралия и Океания. Физическая карта  7 класс,"Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
969,КАР-В-ГЕО89062,Карта «Экологические проблемы России» 8-9 классы,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
970,КАР-В-ГЕО89097,Дальний Восток. Физическая карта 8-9 классы 8-9 классы,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
971,КАР-В-ГЕО89098,Восточная Сибирь. Физическая карта 8-9 классы 8-9 классы,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
972,00496-НШ00156,"Комплект таблиц ""География. Начальный курс 6 класс""","Формат 68x98 см
Содержание комплекта: 1. Движение Земли и их следствия, 2. Строение Земли и земной коры, 3. Горные породы и минералы, 4. Рельеф, 6. Движение воды в Океане, 7. Воды суши, 8. Атмосферное давление. Ветер, 9. Погода и климат, 10. Природные комплексы Земли, 11. Стихийные природные явления, 12. Охрана окружающей среды.",компл,12,2016,2520,4513.6,680х980,География,Бумага,Таблицы,Да,2.17.
973,00497-НШ00157,"Комплект таблиц ""География. Материки и океаны. 7 класс""","Формат 68x98 см
Содержание комплекта:1. Африка, 2. Южная Америка, 3. Австралия и Океания, 4. Антарктида, 5. Северная Америка, 6. Евразия, 7. Атлантический океан, 8. Тихий океан, 9. Индийский океан, 10. Северный Ледовитый океан.",компл,10,1680,2100,3752,680х980,География,Бумага,Таблицы,Да,2.17.
974,00498-НШ00158,"Комплект таблиц ""География России. Природа и население 8 класс""","Формат 68x98 см                                                       Содержание комплекта: 1. Географическое положение, территория и границы, 2. Тектоническое строение территории, 3. Рельеф, 4. Климат, 5. Внутренние воды, 6. Почвы и мелиорация, 7. Природно-хозяйственные зоны России, 8. Административно-территориальное деление России, 9. Природные ресурсы и проблемы рационального природопользования, 10. Население и трудовые ресурсы.",компл,10,1680,2100,7324.8,680х980,География,Бумага,Таблицы,Да,2.17.
975,00499-НШ00159,"Комплект таблиц ""География России. Хозяйство и географические районы 9 класс""","Формат 68x98 см                                                                                             Содержание комплекта: 1. Топливно-энергетичский комплекс, 2. Межотраслевой комплекс конструкционных материалов, 3. Машиностроительный комплекс, 4. Агропромышленный комплекс, 5. Инфраструктурный комплекс, 6. Центральный экономический район, 7. Волго-Вятский экономический район, 8. Северо-Западный  экономический район  9. Северный экономический район, 10. Поволжский экономический район, 11. Уральский экономический район, 12. Северо-Кавказский экономический район, 13. Западно-Сибирский экономический район, 14. Восточно-Сибирский экономический район, 15. Дальневосточный экономический район. 16.и Центрально-Черноземный экономический район",компл,16,2688,3360,5622.4,680х980,География,Бумага,Таблицы,Да,2.17.
976,00500-НШ00160,"Комплект таблиц ""Экономическая и социальная география мира 10 класс""","Формат 68x98 см    Содержание комплекта: 1. Типология стран современного мира, 2. Мировые природные ресурсы мира, 3. Воспроизводство населения мира, 4. Народы мира, 5. Религии мира, 6. Миграция населения, 7. Научно-техническая революция, 8. Мировое хозяйство, 9. Промышленность мира, 10. Мировое сельское хозяйство, 11. Мировой транспорт, 12. Международные организации.",компл,12,2016,2520,4513.6,680х980,География,Бумага,Таблицы,Да,2.17.
977,КАР-В-ГЕО7019,Северная Америка. Физическая карта 7 класс,"Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
978,КАР-В-ГЕО7023,Европа. Физическая карта 7 класс,"Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
979,КАР-ГЕО70035,Зоогеографическая карта мира 7 класс,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
980,КАР-ГЕО70044,Карта «Важнейшие географические открытия и путешествия.7 класс»,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
981,КАР-ГЕО890029,Карта «Географические открытия и исследования территории России. 8-9 классы»,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
982,КАР-ГЕО890151,Дальневосточный экономический район. Социально-экономическая карта 8-9 классы,Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
983,КАР-ГЕО890152,Карта «Часовые пояса России. 8-9 классы»,Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
984,КАР-ГЕО890051,Карта «Физико-географическое районирование территории России» 8-9 классы,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
985,КАР-ГЕО10001,Политическая карта мира 10 класс,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
986,КАР-ГЕО10002,Карта «Народы мира. 10 класс»,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
987,КАР-ГЕО10003,Карта «Религии мира. 10 класс»,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
988,КАР-ГЕО10004,Карта «Население мира. 10 класс»,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
989,КАР-ГЕО10005,Карта «Минеральные ресурсы мира. 10 класс»,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
990,КАР-ГЕО10006,Карта «Экологические проблемы мира. 10 класс»,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
991,КАР-ГЕО10008,Карта «Транспорт мира» 10 класс,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
992,КАР-В-ГЕО10040,"Карта «США. Общегеографическая карта""","Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
993,КАР-ГЕО890080,Карта «Географические открытия и исследования территории России. 8-9 классы»,Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
994,КАР-ГЕО890102,Карта «Физико-географическое районирование территории России» 8-9 классы,Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
995,КАР-ГЕО10058,Карта России общегеографическая ,Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
996,КАР-ГЕО60028,Учебная карта «Великие географические открытия 6 класс»,Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
997,КАР-ГЕО700123,Зоогеографическая карта мира 7 класс,Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
998,КАР-ГЕО700132,Карта «Важнейшие географические открытия и путешествия.7 класс»,Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
999,КАР-ГЕО60016,Учебная карта «Великие географические открытия 6 класс»,Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
1000,КАР-ГЕО70079,Зоогеографическая карта мира 7 класс,Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
1001,КАР-ГЕО890131,Карта «Географические открытия и исследования территории России. 8-9 классы»,Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
1002,КАР-ГЕО890153,Карта «Физико-географическое районирование территории России» 8-9 классы,Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
1003,КАР-Б-ГЕО10057,Карта России общегеографическая ,Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
1004,КАР-В-ГЕО6004,Учебная карта «Великие географические открытия 6 класс»,"Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
1005,КАР-В-ГЕО7035,Зоогеографическая карта мира 7 класс,"Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
1006,КАР-В-ГЕО7044,Карта «Важнейшие географические открытия и путешествия.7 класс»,"Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
1007,КАР-В-ГЕО89029,Карта «Географические открытия и исследования территории России. 8-9 классы»,"Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
1008,КАР-В-ГЕО89051,Карта «Физико-географическое районирование территории России» 8-9 классы,"Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
1009,КАР-В-ГЕО10060,Карта России общегеографическая ,"Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
1010,КАР-В-ГЕО10059,Карта России общегеографическая ,"Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,895,1118.75,3091.2,1400х1000,География,Винил,Карты,Да,2.11.23.
1011,9479-ОБЩ00043,"Таблица демонстрационная ""Атмосферные процессы и явления""","Изготовлена на виниле. Размер 100х140см.
 Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1012,10098-ОБЩ00045,"Таблица демонстрационная ""Виды изображений земной поверхности""","Изготовлена на виниле. Размер 100х140см.
Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1013,9461-ОБЩ00047,"Таблица демонстрационная ""Воздействие человека на атмосферу"" ","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1014,10907-ОБЩ00049,"Таблица демонстрационная ""Воздействие человека на гидросферу"" ","Изготовлена на виниле. Размер 100х140см.Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1015,9475-ОБЩ00053,"Таблица демонстрационная ""Высотная поясность в горах России"" ","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1016,9471-ОБЩ00055,"Таблица демонстрационная ""Географическая оболочка и ее части""","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1017,9483-ОБЩ00057,"Таблица демонстрационная ""Географические координаты"" ","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1018,9774-ОБЩ00059,"Таблица демонстрационная ""Геоинформационные системы (ГИС)""","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1019,9492-ОБЩ00061,"Таблица демонстрационная ""Гидрологические режимы рек"" ","Изготовлена на виниле. Размер 100х140см.Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1020,9477-ОБЩ00063,"Таблица демонстрационная ""Глобальные проблемы человечества"" ","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1021,9481-ОБЩ00065,"Таблица демонстрационная ""Горные породы и полезные ископаемые"" ","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1022,9585-ОБЩ00067,"Таблица демонстрационная ""Города России"" ","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1023,9485-ОБЩ00069,"Таблица демонстрационная ""Земля - планета Солнечной системы"" ","Изготовлена на виниле. Размер 100х140см. 
Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1024,9782-ОБЩ00071,"Таблица демонстрационная ""Изменение температуры и давления с высотой""","Изготовлена на виниле. Размер 100х140см. 
Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1025,9688-ОБЩ00073,"Таблица демонстрационная ""Климатические пояса и типы климата""","Изготовлена на виниле. Размер 100х140см. 
Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1026,9776-ОБЩ00075,"Таблица демонстрационная ""Наблюдение за погодой"" ","Изготовлена на виниле. Размер 100х140см.  Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1027,10817-ОБЩ00077,"Таблица демонстрационная ""Объекты всемирного наследия в Австралии""","Изготовлена на виниле. Размер 100х140см.  Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1028,9473-ОБЩ00084,"Таблица демонстрационная ""Океаны Земли"" ","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1029,9780-ОБЩ00086,"Таблица демонстрационная ""Ориентирование на местности"" ","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1030,10096-ОБЩ00088,"Таблица демонстрационная ""Основные формы рельефа Земли"" ","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1031,9459-ОБЩ00090,"Таблица демонстрационная ""Почвы, растения и животные природных зон""","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1032,9469-ОБЩ00092,"Таблица демонстрационная ""Смена природных зон от полюсов к экватору""","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1033,9467-ОБЩ00094,"Таблица демонстрационная ""Солнечная радиация и радиационный баланс""","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1034,9465-ОБЩ00096,"Таблица демонстрационная ""Условные знаки плана местности"" ","Изготовлена на виниле. Размер 100х140см.  Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1035,9686-ОБЩ00098,"Таблица демонстрационная ""Федеративное устройство России""","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1036,9778-ОБЩ00100,"Таблица демонстрационная ""Циклоны и антициклоны"" ","Изготовлена на виниле. Размер 100х140см.Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
1037,9463-ОБЩ00102,"Таблица демонстрационная ""Этапы взаимодействия человека и природы""","Изготовлена на виниле. Размер 100х140см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,1,895,1118.75,3091.2,1400х1000,География,Винил,Таблицы,Да,2.17.
